„Solidarmość”K Niezależne Zrzeszenie Studentów,43
Prezydium Komisja Krajowa NSzwiązek,42
Ruchu,42
III KS MO,42
Uniwersytecie Warszawskim,41
Polskie Stronnictwo Ludowe,41
Stronnictwo Demokratyczne,41
KW MO w Gdańsku,41
Rada KrajowaS Dolny Śląsk,41
Akademia Rolnicza,40
Stronnictwo DemokratyczneP,40
„Niepodległość”,40
Akademii Górniczo-Hutniczej,40
Wolne Związki Zawodowe Wybrzeża,40
Związek Zawodowy Rolników Indywidnal-nych „Solidarność”,40
Uniwersytetu Łódzkiego,39
UD,39
Ośrodku Odosobnienia w,39
Prymasowskiego Komitetu Pomocy Osobom Pozbawionym Wolności,39
Związek Zawodowy «S»,39
Krakowie-Nowej Hucie,39
„Jedność”,38
SKL,38
„,38
Regionalnego Komitet Komitet Obywatelski,38
„Tygodnika Solidarność”,38
Wojewódzkiego Komitet Komitet Obywatelski,38
IPN,37
„Zapis”,37
Załężu k.,37
Zjednoczone Stronnictwo Ludowe,37
Ursusa,37
Związek Artystów Scen PolskichP,37
KW MO,37
„Solidarność” Klub Parlamentarny,36
Polskie Towarzystwo Turystyczno-Krajoznawcze,36
„Biuletyn Informacyjny”,36
Solidarności Wiejskiej,36
Rady Zakładowej,36
MKomisja Zakładowa Regionu Środkowo-Wschodniego,36
Fundacji,36
Komitetu Organizacyjnego „S”,36
Akademia Medyczna,36
Komisji Interwencji i Praworządności „S”,35
Kongres Liberalno-Demokratyczny,35
«Solidarności»”,35
Sąd Pomorskiego Okręgu Wojskowego,35
KS MO,35
Bielsku-Białej,35
IBJ,35
ZR „S”,35
Bielska-Białej,35
Krakowie-Mistrzejowicach,34
Sądu Wojewódzkiego,34
Grudnia ’70,34
Inspektorat,34
ZR Mazowsze,34
Filologii Polskiej,34
Liceum Ogólnokształcące im.,33
Instytutu Literackiego w Paryżu,33
Prezydium Międzyzakładowy Komitet Strajkowy,33
„Solidarmość”P.,33
Koła,33
Politechniki Poznańskiej,33
Związek Zawodowy «Solidarność»”,33
Młodzieżowy Komitet Oporu Społecznego,32
WP,32
Zarząd Główny Rudna,32
Regionu,32
Fundacji im.,31
Kopalnia Węgla Kamiennego,31
Komisji Edukacji Narodowej,31
„Spotkania”,31
„Solidarmość”W,31
„Bratniak”,30
„Solidarność” Klub ParlamentarnyP WUSW,30
solidarnościowej,30
Pielgrzymek Ludzi Pracy,30
Warszawie-Mokotowie,30
Rada KrajowaS „S” Dolny Śląsk,30
"""Wujek""",30
Sądu Warszawskiego Okręgu Wojskowego,30
Akademii Medycznej,30
KGHM,30
II Dep.,29
AŚ KW MO,29
ZChN,29
IV KW MO,29
UB,29
Rada KrajowaW „S”,29
Służby Więziennej,29
WZD Regionu Podbeskidzie,29
WSK,29
„Opinia”,29
NZwiązek Artystów Scen PolskichJ,29
„Tygodnika Mazowsze”,29
Wydawnictwo im.,29
Rady Miasta,28
Tygodni Kultury Chrześcijańskiej,28
Regionalnej Komisji Rewizyjnej,28
„Solidarność Podbeskidzia”,28
Komisja Zakładowa tamże,28
BKomitet Komitet Obywatelski,28
Związek Socjalistycznej Młodzieży Polskiej,28
WZD Regionu Dolny Śląsk,28
HM Głogów,28
FSO,28
SKomitet Komitet Obywatelski,28
Mera-ZAP,28
Uniwersytecie,27
ROP,27
Szczecińskiego Klubu Katolików,27
Sejm Rzeczpospolita Polska,27
KW,27
Sądu Marynarki Wojennej w Gdyni,27
Rady,27
FMO,27
Komisji Oddziałowej,26
Tymczasowego Komitetu Założycielskiego,26
„Rzeczpospolitej”,26
II Ministerstwo Spraw Wewnętrznych,26
„Rezonans”,26
„Opinii”,26
rzeszowsko-ustrzyckich,26
Zasadniczą Szkołę Zawodową w,26
OKomisja Zakładowa,26
„Solidarność”R),26
FSC,26
Zakładzie Robót Górniczych w Lubinie,26
Krakowie-Bieżanowie,25
WZD Regionu Mazowsze,25
Rady Programowej,25
Ośrodku Odosobnienia w Strzebielinku,25
„Solidarność” Klub ParlamentarnyP,25
ZM Ursus,25
Komitetu Komitet Obywatelski,25
Gdańskiej Stoczni Remontowej,25
Związek Zawodowy Solidarność,25
Kościołem,25
Kopalnia Węgla Kamiennego Manifest Lipcowy,25
Grup Oporu Solidarni,24
„Ogniwo”,24
„Solidarność Zwycięży”,24
Deklaracji Ruchu Demokratycznego,24
„Solidarmość”P „S”,24
„CDN”,24
Związek Artystów Scen,24
Koła „S”,24
„Hutnika”,24
„Zagłębie Miedziowe”,24
Kościołowi,24
„Solidarność Dolnośląska”,24
Zachodu,24
Tymczasowej Komisja Zakładowa,24
„S” Regionu Małopolska,24
„Głosu”,23
Stoczni Szczecińskiej,23
„S” tamże,23
Związek Zawodowy,23
Politechnice Warszawskiej,23
Komisji Wydziałowej „S”,23
1985-1988,23
MKomisja Zakładowa w,23
Wojewódzkiego Komitetu Założycielskiego „S” Niezależny Samorządny Związek Zawodowy Rolników Indywidnal-nych „Solidarność”,23
Komitetu Pomocy Osobom Pozbawionym Wolności,23
Rady Naczelnej,23
woj.,23
Budownictwa Lądowego,23
MKomisja Zakładowa Gdańsk,23
Kościół,23
Niezależny Samorządny Związek Zawodowy „S”,23
„Biuletyn Informacyjny” Komitet Samoobrony Społecznej „KOR”,22
CentrumiO,22
Międzynarodowej Konferencji Praw Człowieka,22
„Kulturze”,22
„S” L.,22
Akcji Katolickiej,22
Sądu Pracy,22
Zarządu Wojewódzkiego,22
Hucie im.,22
Akademia Górniczo-Hutnicza,22
Klubów Rzeczypospolitej Samorządnej Wolność-Sprawiedliwość-Niepodległość,22
„Obecność”,22
Polskiego Radia,22
"Biuletyn Informacyjny Biuletyn Informacyjny ""Biuletyn Informacyjny""",22
TZR „S”,21
Politechniki Łódzkiej,21
Pen Clubu,21
Politechniki Krakowskiej,21
Ruchu Światło-Życie,21
Związek Polskich Autorów,21
Ośrodku Odosobnienia w Załężu k.,21
„Solidarność”S-a”,21
KW MO w Szczecinie,21
WRN,21
UAkademia Medyczna,21
Semper Fidelis,21
NOW-ej,21
VIII Liceum Ogólnokształcące,21
Krąg,20
"„Solidarmość”P,",20
MKomisja Zakładowa w Gdańsku,20
Bielskiego Komitetu Oporu Społecznego,20
rolników,20
Konferencja Episkopatu Polski,20
Komisję Episkopatu,20
"Duszpasterstwa Rolników,",20
Ogólnopolskie Duszpasterstwo Rolników,20
Wyższego Seminarium Duchownego,20
Katolickim Uniwersytecie Lubelskim,20
Stoczni Północnej,20
ZON,20
Akademia RolniczaT,20
Krakowskiego Biura Projektów Budownictwa Komunalnego,20
Komitet Założycielski,20
Grudnia ’70.,19
Państwowe Gospodarstwo Rolne,19
Akademii Medycznej w Gdańsku,19
TKomisja Krajowa NSzwiązek zawodowy,19
„Solidarność,19
Episkopatu Polski,19
Zarządzie Portu Szczecin-Świnoujście,19
Rady Ministrów,19
Zespołu ds.,19
„Robotnika”,19
„Biuletyn Informacyjny” Komitet Komitet Obywatelski,19
Akademii Rolniczej,19
Sąd Śląskiego Okręgu Wojskowego,19
1985-1989,19
Tymczasowej Komisja Zakładowa „S”,19
MKomisja Krajowa NSzwiązek zawodowy,19
MKomisja Zakładowa Małopolska,19
Technikum Mechaniczno-Elektryczne,19
„Solidarność.,19
Społecznego Komitetu Nauki,18
Związek Zawodowy Rolników Solidarność Wiejska,18
Sądu Pomorskiego Okręgu Wojskowego,18
ONZ,18
Bractwa Oblatów św.,18
MKomisja Zakładowa w Olsztynie,18
Politechniki Śląskiej,18
„Solidarności Wiejskiej”,18
Komitetu Helsińskiego,18
Sąd Rejonowy,18
Sejmu Polska Rzeczypospolita Ludowa ws.,18
„Biuletynu Informacyjnego”,18
„S”),18
KW MO w Białymstoku,18
„Solidarmość” Gdańsk,18
1977-1988,18
Rady Sygnatariuszy,18
Komisją Rządową,18
Rada KrajowaW „S” Dolny Śląsk,18
LDPN,18
Sąd Marynarki Wojennej,18
Komitetu Organizacyjnego,18
„Solidarmość”K,18
BBC,18
Komisji Charytatywnej,18
Rada WojewódzkaD,18
Urzędu Wojewódzkiego,18
Centrum,18
FMS,18
„Vacat”,17
ds.,17
VI-VII 1981,17
„Solidarność” „S” Województwa,17
„Solidarmość”W „S”,17
Partii Wolności,17
Akademii Ekonomicznej,17
Amnesty International,17
Milicji Komitet Obywatelski,17
Polska Partia SocjalistycznaZ,17
Regionu Śląsko-Dąbrowskiego,17
Lubelskich Zakładach Naprawy Samochodów,17
Ministerstwo Obrony Narodowej,17
Parlamentu Europejskiego,17
III KW MO w,17
„Puls”,17
Prymasowskiej Rady Społecznej,17
„Solidarności Podbeskidzia”,17
Zarządu Krajowego,17
„Solidarni”,17
Kopalnia Węgla Kamiennego Thorez,17
Komitetów Założycielskich,17
KIiP,17
Tymczasowa Komisja Zakładowa,17
TKCh,17
NOWej,16
„Baza”,16
IV Ministerstwo Spraw Wewnętrznych,16
Sąd Najwyższy,16
„Tygodnika Powszechnego”,16
Komisji Spraw Zagranicznych,16
Londyn,16
„Tygodnik Solidarność”,16
Związek Młodzieży Socjalist -,16
"„Solidarność”R,",16
Komitetu Założycielskiego „S” Pracowników HSW,16
KZwiązek Polskich Autorów,16
„Reduta”,16
CDN,16
Archiwum Archiwum Archiwum,16
Biura Koordynacyjnego „S”,16
Sądu Śląskiego Okręgu Wojskowego,16
1963-1964,16
KM PZPR,16
„Solidarność Trwa”,16
„Arka”,16
Podwyższenia Krzyża Świętego,16
«Solidarność»,16
Wydawnictwa im.,16
KE,16
Zarząd Główny Polkowice,16
Sąd Wojewódzki,16
Klubu Krzywego Koła,16
Wojewódzki Komitetomitet Komitet Obywatelski,16
Komitet Porozumiewawczy Środowisk Twórczych,16
Komisji Wyborczej,16
SKP,16
Porozumienie Centrumhrześcijańska Demokracja,16
Ministerstwo Spraw Zagranicznych,16
Uniwersytecie im.,16
Rada KrajowaW Dolny Śląsk,16
UŁ,16
Polska Rzeczypospolita Ludowa”,16
Niezależne Zrzeszenie Studentów w,16
MKomisja Zakładowa/ZR,16
"""Biuletyn Informacyjny""",16
„Monit”,15
Konwersatorium Doświadczenie i Przyszłość,15
Solidarność”,15
WZD Regionu Środkowo-Wschodniego,15
WZD Regionu Gdańskiego,15
Kawalerskim Orderu Odrodzenia Polski,15
PBK,15
POP PZPR,15
Stowarzyszenia Godność,15
Polskiej Partii Niepodległościowej,15
Pomorskiej DKomitet Obywatelski,15
„Solidarność Nauczycielska”,15
WZD Regionu Małopolska,15
Deklaracji ideowej Klubów Rzeczypospolitej Samorządnej Wolność-Sprawiedliwość-Niepodległość,15
Zarządzie Portu Gdańsk,15
ZR Małopolska,15
Krakowskiego Komitet Komitet Obywatelski,15
I Liceum Ogólnokształcące,15
II KW MO/WUSW,15
„Solidarmość”W.,15
Stoczni Północnej im.,15
Budowy Maszyn,15
„Wprost”,15
„Galicja”,15
Solidarności Walczącej w,15
Technikum Mechaniczno-Elektryczne w,15
Komitet Strajkowy,15
Parafia św.,15
Kurii Biskupiej,14
I Liceum Ogólnokształcące im.,14
Uniwersytecie Jagiellońskim,14
KS MO/SUSW,14
1987-1988,14
MKomisja Zakładowa we Wrocławiu,14
Prezydium Komisja Krajowa NSzwiązek zawodowy,14
WZD Regionu Wielkopolska,14
1983-1989,14
Trybunału Stanu,14
Wyższej Szkoły Inżynierskiej,14
Teatru Narodowego,14
„Tygodnik Mazowsze”),14
Uniwersytetu Szczecińskiego,14
Politechnice Gdańskiej,14
"Komitetu Porozumiewawczego „S” Regionu 

	Pomorze  
 Zachodnie",14
„Aktualności”,14
Układu Warszawskiego,14
ZK we Wrocławiu,14
Krzyżem Wolności,14
TZR Środkowo-Wschodniego,14
Zarząd Główny,14
Wojewódzki Komitet Komitet Obywatelski,14
„Rzeczpospolita”,14
Związek Polskich Artystów Plastyków,14
KW MO we Wrocławiu,14
Metalowców,14
„Łącznik”,14
Związek Artystów Scen Polskichapieska Akademia Teologiczna,14
Komitetu Założycielskiego Niezależne Zrzeszenie Studentów,14
III KW MO w Przemyślu,14
III Liceum Ogólnokształcące w Gdańsku,14
Instytutu Literackiego w,14
Międzyzakładowy Komitet Strajkowy „S”,14
LPR,14
Spółdzielni Kółek Rolniczych,14
„Solidarność”S),14
Bogusławem Śliwą,14
Związek Zawodowy Niezależny Samorządny Związek Zawodowy Rolników Indywidnal-nych „Solidarność” „S”,14
„Jedności”,14
KW MO w Rzeszowie,14
Prezydenta Rzeczpospolita Polska,14
ZSO Polam,14
Związek Zawodowy »Solidarność«,14
„Solidarmość” Niezależny Samorządny Związek Zawodowy „S”,14
ZUS,13
PFO,13
Sejmiku Samorządowego Województwa,13
Zarządu Wojewódzkiego „S” Niezależny Samorządny Związek Zawodowy Rolników Indywidnal-nych „Solidarność”,13
Regionalnej Komisji Wyborczej,13
PWN,13
Grupy Pomocowej,13
Stowarzyszenia Osób Represjonowanych w Stanie Wojennym,13
WSW,13
Klubu Myśli Politycznej Dziekania,13
MKomisja Zakładowa w Suwałkach,13
Tymczasowego Komitetu,13
ZSRS,13
2000-2001,13
Komisji Koordynacyjnej,13
ZR Warmińsko-Mazurskiego,13
„Tygodnik Wojenny”,13
KW MO/WUSW w Szczecinie,13
Rady Krajowej,13
UG,13
Kędzierzyna-Koźla,13
Politechnice Szczecińskiej,13
NIK,13
Wydz.,13
„Grota”,13
Akademii Teologii Katolickiej,13
Spółdzielni Pracy,13
Rady Miejskiej,13
Uniwersytetu Śląskiego,13
Regionu Wielkopolska Południowa,13
ZPG,13
„Portowca”,13
WZD Regionu Rzeszowskiego,13
Rady Politycznej KPN,13
Stowarzyszenia PAX,13
Karty Praw Robotniczych,13
Zarządu Oddziału „S”,13
„Gencjana”,13
Olofa Palme,13
jęz.,13
Hucie Warszawa,13
Komisji Robotniczej,13
Związek Zawodowy «S»”,13
MB Królowej Polski,13
KW MO w Lublinie,13
TKW,13
MPT,13
Polska Partia Socjalistyczna-RD,13
Duszpasterstwo Ludzi Pracy,13
POH,13
TZR Mazowsze,12
Zarządzie Portu Szczecin,12
Sierpnia ’80,12
„Zomorządność”,12
„Metrum”,12
Fundacji Polcul,12
„Obrona”,12
Niezależny Samorządny Związek Zawodowy,12
Ośrodka Prac Społeczno-Zawodowych,12
WZD Regionu Ziemia Radomska,12
Regionu Środkowo-Wschodniego,12
Liceum Ogólnokształcące dla Pracujących,12
Ustroniu-Polanie,12
Polska Rzeczypospolita Ludowa'',12
II WZD Regionu Środkowo-Wschodniego,12
„Gazecie Wyborczej”,12
„Feniks”,12
„Bratniaka”,12
Warszawie-Olszynce Grochowskiej,12
„Solidarność Zagłębia Miedziowego”,12
„S” w,12
„Biuletyn Małopolski”,12
Filii University of Warsaw,12
UOP,12
parafii Podwyższenia Krzyża Świętego,12
Zarządu Oddziału,12
Komisja Zakładowa),12
Prezydium Komitetu Założycielskiego,12
Instytut Literacki,12
III KW MO we,12
Szkoły Głównej Planowania i Statystyki,12
MKomisja Zakładowa Mazowsze,12
Komisji Założycielskiej,12
Państwowej Wyższej Szkoły Teatralnej w Warszawie,12
1963-1965,12
KW MO w Łodzi,12
GSR,12
Akademia Nauk,12
II Liceum Ogólnokształcące,12
Zakładowej Komisji Robotniczej,12
SMW,12
Filozoficzno-Historyczny,12
PZU,12
„Więzi”,12
Komitetu ds.,12
WSiA WUSW,12
„Solidarność” „S” woj.,12
Akademia RolniczaO,12
MZwiązek Polskich Autorów i Kompozytorów,12
ZHR,12
„Busola”,12
„Portowiec”,12
Szarych Szeregów,12
FSC Lublin,12
II WZD,12
„Kontakt”,12
PP,12
Zarządu Gminnego,12
Regionu Dolny Śląsk,12
Ośrodku Odosobnienia w Iławie,12
