Bibliotece Publicznej,4
kardawniej,4
Czerwonym Borze,4
HCP,4
Ekonomiczny,4
europejskiej,4
„Czasie Krakowskim”,4
Wszechnicy Nauczycielskiej,4
Teatrze Wybrzeże,4
Wojewódzkim Ośrodku Metodycznym w,4
Mazowsza,4
Runoteksie,4
Wojewódzkim Przedsiębiorstwie Wodociągów i Kanalizacji w,4
Bibliotece Pedagogicznej,4
Zakładach Metalowych im,4
Dziadów,4
Chrześcijańskiej,4
Zajezdni Autobusowej nr VII MPK,4
„Robotnika”,4
Hali Gwardii,4
kościele Św.,4
Bibliotece Jagiellońskiej,4
Wielkopolski,4
Wojewódzkim Przedsiębiorstwie Handlu Wewnętrznego,4
Marszałkowskiej,4
Al.,4
Tygodniach Kultury Chrześcijańskiej,4
Ochocie,4
Teatrze im.,4
Podhala,4
Ziemi Łódzkiej,4
parafii Trójcy Przenajświętszej,4
Ziemi Puławskiej,4
Błoniach,4
Półwiejskiej,4
Gdańskiej Stoczni Remontowej,3
w Gdańsku,3
średnich,3
Bednarskiej,3
Rzeszowszczyzny,3
Wisły,3
parafii NMP Matki Kościoła,3
Państwowej Fabryce Wagonów Pafawag,3
Fabryce Samochodów Specjalizowanych Polmo-SHL,3
Ziemia Radomska,3
Górze św.,3
Zarządzie Okręgu,3
Dolnego Śląska,3
Fabryce Łączników,3
Cienie,3
Fabryce Kontenerów Unikon,3
parafii Wniebowzięcia NMP,3
Miasteczku Akademickim w,3
Kapituły,3
Kopalnia Węgla Kamiennego,3
Teatrze,3
Kresach Wschodnich,3
Azji,3
Krajowy,3
Fabryce Łożysk Tocznych,3
Sanktuarium Matki Bożej,3
kościele Świętego Ducha,3
Fabryce Wyrobów Precyzyjnych im.,3
Bazylice Katedralnej,3
parafii Św.,3
katedry św.,3
parafii Matki Bożej Częstochowskiej,3
Ziemi Dzierżoniowskiej,3
ZR Środkowo-Wschodniego,3
Puszczy Nadnoteckiej,3
kaliskim,3
Lechu Wałęsie ds.,3
Odrą,3
Miłkowskiego,3
parafii Matki Bożej Królowej Polski,3
Zabytkami,3
Zarządzie Głównym,3
kościele Chrystusa Króla,3
Ziemi Gdańskiej,3
Tatrach Zachodnich,3
Wojewódzkim Szpitalu Zespolonym im.,3
„Zapisie”,3
Menem,3
Wydz.,3
kościele pw.,3
Mazury,3
Stalmacha,3
Szkoła Główna Planowania i Statystyki,3
Borówkowej,3
ziemi kłodzkiej,3
Fizyki Technicznej i Matematyki Stosowanej,3
Teatrze Współczesnym,3
Świdnickiej,3
„Biuletyn Informacyjny” Komitet Samoobrony Społecznej „KOR”,3
kościele Najświętszego Serca Pana,3
Krzyża Wielkiego Orderu Odrodzenia,3
„Kulturze Niezależnej”,3
Polmozbyt,3
Wawel,3
Szkoła Główna Gospodarstwa Wiejskiego w,3
kościele Matki Bożej Częstochowskiej,3
Orderem Orła Białego,3
"Szkoła Szkoła ""Szkoła""",3
Elektrowni Dolna Odra,3
Sanktuarium Matki,3
Ojczyznę,3
Zakładzie Mleczarskim,3
Wybrzeżu Gdańskim,3
kościele Świętej Rodziny,3
Krzyżem Partyzanckim,3
ZR Małopolska,3
Mechaniczny,3
kościele MB Królowej,3
Ziemia Sandomierska,3
Zakładach Naprawczych Taboru Kolejowego,3
Bibliotece Uniwersyteckiej Katolicki Uniwersytet Lubelski,3
Kaszubach,3
kościele Nawiedzenia NMP,3
kościele Wniebowstąpienia NMP w Toruniu,3
Jelonkach,3
Alternatywy,3
Bielskiej Fabryce Maszyn Włókienniczych Befama,3
Ziemi Zgorzeleckiej,3
Lubelskim Domu Kultury,3
Międzynarodowych Targach Książki,3
Klubów,3
Ziemi Biłgorajskiej,3
Wojewódzkim Przedsiębiorstwie PKS,3
Sanu,3
Niepodległości,3
Delegatury,3
„Biuletyn Niezależnego Zrzeszenia Studentów”,3
Przemysłowej,3
Katedrze,3
Krakowskim Przedmieściu,3
Spiszu,3
Śląska Opolskiego,3
Politechnice Śląskiej,3
Europy Środkowo-Wschodniej,3
Wojska,3
Sanktuarium św.,3
Mostu Teatralnego,3
Zrzeszeniu Kaszubsko-Pomorskim,3
Ster.,3
W.,3
Domu Kultury,3
Piwnej,3
Pomorze Zachodnie,3
„Biuletyn informacyjny,3
Rynek,3
Powstańców Śląskich,3
Zalesiu Górnym,3
kościele akademickim św.,3
Kościoła,3
Świętokrzyskiej,3
Fabryce Łożysk Tocznych Iskra,3
Górnośląskiej,3
Wszechnicy,3
Ostrowie,3
Wojewodzie Wielkopolskim,2
Fabryce Narzędzi Skrawających Vis,2
kościoła Św.,2
kościele Wniebowzięcia NMP w,2
zamojskiej,2
Krzyżem Niezłomnych,2
kaplicę bł.,2
Cmentarzu Centralnym w,2
Lachy,2
kościele Opatrzności Bożej w,2
Fabryce Części,2
Katedrze Historii,2
„Biuletyn Łódzki”,2
Tymczasowej Międzyzakładowej Komisji,2
Krzyżem Kawalerskim Orderu Zasługi,2
Dolnośląskich Zakładach Tworzyw Sztucznych w,2
mazowieckiego,2
Krzyża Zasługi,2
Przychodni Kolejowej,2
Katedrze Chrystusa Króla,2
OPRF,2
Politechnice Szczecińskiej,2
Świetlik,2
europejskich,2
Domu Rekolekcyjnym w,2
Portu,2
kościoła Matki Bożej Zwycięskiej,2
Fabryce Kabli Załom,2
Sejmie,2
Bliskim Wschodzie,2
Wojskowym Obozie Specjalnym w,2
Kapituły Generalnej,2
Wykusie,2
parafii Matki Bożej Saletyńskiej,2
Dziale Głównego Technologa,2
Kopernika,2
Jaworskim Przedsiębiorstwie Budowlanym,2
Wojewódzkim Przedsiębiorstwie Ciepłowniczym,2
Oddział,2
Sanem,2
Mechaniki Precyzyjnej,2
Teatrze Śląskim,2
Lubelskim Przedsiębiorstwie Budownictwa Przemysłowego,2
Wołyń,2
Wojewódzkim Przedsiębiorstwie Robót Elektrycznych i Dźwigowych w,2
Dworcu Nadodrze we Wrocławiu,2
BWA,2
Przełęczy Rydza-Śmigłego,2
Grunwaldzkim,2
Czarna Jedynka,2
Gmachu Głównym PW,2
Honorowy Obywatel Miasta,2
Jednostce Wojskowej,2
Doliny Rospudy,2
Tatrach,2
Konwersatorium,2
„Krytyce”,2
Ministrze Sprawiedliwości,2
Bardzie Śląskim,2
Fabryce Mebli Okrętowych Famos,2
Solidarności,2
Międzymiastówki Anarchistycznej,2
parafii Najświętszego Serca Pana,2
Fabryce Maszyn i Urządzeń Famak,2
Teatrze Dramatycznym w,2
Filologiczno-Historyczny,2
Wojewódzkim Szpitalu Specjalistycznym w Olsztynie,2
Europy Północnej,2
„Krzyża Nowohuckiego”,2
dokumentem Raport Madrycki,2
AZwiązek Artystów Scen Polskich,2
kościele Opatrzności Bożej,2
Ziemia Kujawska,2
Wojewódzkim Przedsiębiorstwie Energetyki Cieplnej,2
Wojewódzkim Urzędzie Pracy w,2
Suchej Beskidzkiej,2
dolnośląskiej,2
MEL PW,2
„Biuletyn Podhalański”,2
Papieskim Wydz,2
łódzkich,2
Kopalnia Węgla Kamiennego Silesia,2
kościoła Wniebowzięcia NMP,2
Cmentarzu Osobowickim,2
„Ratujmy Karkonosze”,2
Morza,2
Wojewódzkim Szpitalu dla,2
Wojewódzkim Szpitalu Zespolonym w Toruniu,2
Europa,2
Pomorze Wschodnie,2
parafii Matki Bożej Pocieszenia,2
Port Północny,2
Ruskiej,2
Pałacu Młodzieży,2
kościoła Matki Bożej Królowej,2
Ziemi Dobrzyńskiej,2
św.,2
Bibliotece Narodowej”,2
Filii,2
Salonie Kultury Niezależnej Anny,2
Teatrze Współczesnym w,2
Okrągłym Stole,2
Szczecińskiej Fabryce Narzędzi,2
Fabryce Urządzeń Okrętowych Techmet,2
Ministrze Kultury i Dziedzictwa Narodowego,2
Wydziale,2
kaplicy Najświętszego Serca Jezusowego,2
Fabryce Transformatorów i Aparatury Trakcyjnej Elta,2
konserwatorskiej,2
Rzeszowszczyźnie,2
Przychodni Specjalistycznej,2
parafii Niepokalanego Poczęcia NMP,2
Instytutem Literackim,2
Urzędzie,2
Pomnikiem Tysiąclecia,2
Bałtyk,2
Pomnikiem Ofiar Grudnia,2
